Draft-rankings-export-2025

Overall Rank,Full Name,Team Abbreviation,Position,Position Rank,Bye Week,ADP,Projected Points,Auction Value
346,"Kalif Raymond","DET","WR",132,8,170,29.86,"N/A"
347,"Christian Watson","GB","WR",133,5,170,38.6,"N/A"
348,"Joe Milton III","DAL","QB",42,10,169.9,55.78,"N/A"
349,"Kalel Mullings","TEN","RB",94,10,170,51.33,"N/A"
350,"Greg Dortch","ARI","WR",134,8,170.2,65.76,"N/A"
351,"Van Jefferson","TEN","WR",135,10,170.2,62.35,"N/A"
352,"Tyler Goodson","IND","RB",95,11,170,4.84,"N/A"
353,"K.J. Osborn","WAS","WR",136,12,170,23.05,"N/A"
354,"Damien Martinez","SEA","RB",96,8,170,59.89,"N/A"
355,"Kimani Vidal","LAC","RB",97,12,170,27.07,"N/A"
356,"Jacob Cowing","SF","WR",137,14,170,19.75,"N/A"
357,"Emari Demercado","ARI","RB",98,8,170.1,45.47,"N/A"
358,"Ty Chandler","MIN","RB",99,6,170,13.42,"N/A"
359,"Carlos Washington Jr.","ATL","RB",100,5,170,21.55,"N/A"
360,"Jonathan Mingo","DAL","WR",138,10,170,47.53,"N/A"
361,"Noah Gray","KC","TE",41,10,169.9,69.07,1
362,"Taysom Hill","NO","TE",42,11,169.8,46.56,"N/A"
363,"Jameis Winston","NYG","QB",43,14,170,29.97,"N/A"
364,"Austin Hooper","NE","TE",43,14,170,56.4,"N/A"
365,"Dillon Gabriel","CLE","QB",44,9,170.1,13.97,"N/A"
366,"Shedeur Sanders","CLE","QB",45,9,168.6,13.96,"N/A"
367,"Will Dissly","LAC","TE",44,12,169.9,30.33,"N/A"
368,"Tyler Johnson","NYJ","WR",139,9,170,16.67,"N/A"
369,"Marcus Mariota","WAS","QB",46,12,170,18.05,"N/A"
370,"Brycen Tremayne","CAR","WR",140,14,170,0,"N/A"
371,"Jordan Watkins","SF","WR",141,14,170,16.5,"N/A"
372,"Mac Jones","SF","QB",47,14,169.9,27.25,"N/A"
373,"George Holani","SEA","RB",101,8,170,16.07,"N/A"
374,"Devontez Walker","BAL","WR",142,7,170,17.92,"N/A"
375,"Emanuel Wilson","GB","RB",102,5,170.1,37.52,"N/A"
376,"Isaiah Bond","CLE","WR",143,9,null,0,"N/A"
377,"Jake Bobo","SEA","WR",144,8,170,19.48,"N/A"
378,"Dawson Knox","BUF","TE",45,7,169.8,70.34,"N/A"
379,"Cade Stover","HOU","TE",46,6,170,42.72,"N/A"
380,"Sterling Shepard","TB","WR",145,9,170,48.37,"N/A"
381,"Gunnar Helm","TEN","TE",47,10,170,44.04,"N/A"
382,"Jordan James","SF","RB",103,14,170.1,22.63,1
383,"Konata Mumpfield","LAR","WR",146,8,170,0,"N/A"
384,"Tyler Badie","DEN","RB",104,12,170,12.65,"N/A"
385,"Brashard Smith","KC","RB",105,10,170.1,35.58,2
386,"Derius Davis","LAC","WR",147,12,170,14.82,"N/A"
387,"Josh Oliver","MIN","TE",48,6,170,28.05,"N/A"
388,"Tylan Wallace","BAL","WR",148,7,170,13.52,"N/A"
389,"Sam Howell","MIN","QB",48,6,170,9.93,"N/A"
390,"Foster Moreau","NO","TE",49,11,170,74.99,"N/A"
391,"Charlie Jones","CIN","WR",149,10,170,17.62,"N/A"
392,"Ben Sinnott","WAS","TE",50,12,170,51.23,"N/A"
393,"Malik Willis","GB","QB",49,5,169.9,27.11,"N/A"
394,"Luke Musgrave","GB","TE",51,5,169.9,44.64,"N/A"
395,"Jeremy McNichols","WAS","RB",106,12,170,11.61,"N/A"
396,"Tommy Tremble","CAR","TE",52,14,170,9.97,"N/A"
397,"John Metchie III","PHI","WR",150,9,170,16.91,"N/A"
398,"Luke Schoonmaker","DAL","TE",53,10,170,47.51,"N/A"
399,"Jake Browning","CIN","QB",50,10,170,30.02,"N/A"
400,"Trey Lance","LAC","QB",51,12,170,30.18,"N/A"
401,"Mason Rudolph","PIT","QB",52,5,170,47.65,"N/A"
402,"Julius Chestnut","TEN","RB",107,10,170,42.95,"N/A"
403,"Cedrick Wilson Jr.","NO","WR",151,11,170,28.68,"N/A"
